Player,Squad,Age,Pos_clean,Comp,valor_real,valor_predicho,diferencia,diferencia_pct
Marvin Ducksch,Werder Bremen,30.0,FW,de Bundesliga,6.999999999999999,12.840054168587255,5.840054168587256,0.8342934526553223
Artem Dovbyk,Roma,27.0,FW,it Serie A,31.0,15.452382910782037,-15.547617089217963,-0.5015360351360634
Jurriën Timber,Arsenal,23.0,DF,eng Premier League,56.00000000000002,26.515317442232007,-29.484682557768014,-0.5265121885315714
Nicolai Remberg,Holstein Kiel,24.0,MF,de Bundesliga,4.0,8.384143919651473,4.384143919651473,1.0960359799128683
Brendan Chardonnet,Brest,29.0,DF,fr Ligue 1,6.999999999999999,4.116320796155085,-2.883679203844914,-0.41195417197784495
Rubén García,Osasuna,31.0,FW,es La Liga,3.0000000000000004,5.63565346649856,2.63565346649856,0.8785511554995198
Maghnes Akliouche,Monaco,22.0,FW,fr Ligue 1,46.0,28.102398592064482,-17.897601407935518,-0.3890782914768591
Raoul Bellanova,Atalanta,24.0,DF,it Serie A,24.999999999999996,15.692964512136168,-9.307035487863828,-0.3722814195145532
Pervis Estupiñán,Brighton,26.0,DF,eng Premier League,31.0,19.57433596297463,-11.42566403702537,-0.3685698076459797
Vincent Sierro,Toulouse,28.0,MF,fr Ligue 1,4.999999999999999,10.347260921632849,5.3472609216328495,1.06945218432657
Kenan Yıldız,Juventus,19.0,FW,it Serie A,51.0,33.0266300947599,-17.973369905240098,-0.35241901774980583
Mika Mármol,Las Palmas,23.0,DF,es La Liga,15.999999999999998,9.243754914876712,-6.756245085123286,-0.42226531782020543
Luis Díaz,Liverpool,27.0,FW,eng Premier League,71.0,50.825378700822526,-20.174621299177474,-0.28414959576306303
Ondrej Duda,Hellas Verona,29.0,MF,it Serie A,4.5,6.585159324920143,2.085159324920143,0.46336873887114294
Hugo Larsson,Eint Frankfurt,20.0,MF,de Bundesliga,41.00000000000001,19.515732964613115,-21.484267035386893,-0.5240065130582168
Joelinton,Newcastle Utd,27.0,MF,eng Premier League,36.0,19.93758586785463,-16.06241413214537,-0.4461781703373714
Javi Hernández,Leganés,26.0,DF,es La Liga,3.5,6.994501293734282,3.494501293734282,0.9984289410669377
Dejan Kulusevski,Tottenham,24.0,MF,eng Premier League,51.0,40.5632253795222,-10.436774620477799,-0.20464263961721174
Thilo Kehrer,Monaco,27.0,DF,fr Ligue 1,21.0,10.81997592236036,-10.18002407763964,-0.4847630513161733
Mateo Retegui,Atalanta,25.0,FW,it Serie A,46.0,61.35091094764632,15.35091094764632,0.33371545538361563
Harry Kane,Bayern Munich,31.0,FW,de Bundesliga,76.0,39.53821394546219,-36.46178605453781,-0.47976034282286595
Benjamin Šeško,RB Leipzig,21.0,FW,de Bundesliga,71.0,37.2184724097311,-33.7815275902689,-0.47579616324322394
Lucas Paquetá,West Ham,26.0,MF,eng Premier League,29.000000000000004,28.723383589490904,-0.27661641050909935,-0.009538496914106872
Takefusa Kubo,Real Sociedad,23.0,MF,es La Liga,31.0,17.664728459726934,-13.335271540273066,-0.4301700496862279
Clinton Mata,Lyon,31.0,DF,fr Ligue 1,4.5,4.758885291124594,0.258885291124594,0.057530064694354226
Mathías Olivera,Napoli,26.0,DF,it Serie A,21.0,9.34486223710077,-11.65513776289923,-0.5550065601380586
Pablo Maffeo,Mallorca,27.0,DF,es La Liga,6.0,5.106613840427357,-0.8933861595726427,-0.1488976932621071
Trent Alexander-Arnold,Liverpool,25.0,DF,eng Premier League,76.0,36.2114258354911,-39.7885741645089,-0.5235338705856435
Mamadou Sarr,Strasbourg,18.0,DF,fr Ligue 1,21.0,22.82692890722645,1.8269289072264492,0.08699661462983091
Gabriel Magalhães,Arsenal,26.0,DF,eng Premier League,76.0,31.38391234193609,-44.61608765806391,-0.5870537849745251
Téji Savanier,Montpellier,32.0,MF,fr Ligue 1,10.000000000000002,7.593308598018552,-2.4066914019814494,-0.2406691401981449
Jacob Murphy,Newcastle Utd,29.0,FW,eng Premier League,17.0,36.24073031904587,19.240730319045873,1.131807665826228
Lorenz Assignon,Rennes,24.0,DF,fr Ligue 1,10.000000000000002,11.89357681000291,1.8935768100029087,0.18935768100029082
Maximilian Arnold,Wolfsburg,30.0,MF,de Bundesliga,6.0,7.6637324815397925,1.6637324815397925,0.27728874692329875
Lorenzo Lucca,Udinese,23.0,FW,it Serie A,23.0,17.21666791893053,-5.783332081069471,-0.251449220916064
Habib Diarra,Strasbourg,20.0,MF,fr Ligue 1,21.0,23.53805526418451,2.5380552641845107,0.1208597744849767
Lucas Digne,Aston Villa,31.0,DF,eng Premier League,11.000000000000002,8.759694901549835,-2.2403050984501665,-0.203664099859106
Florian Wirtz,Leverkusen,21.0,MF,de Bundesliga,141.00000000000003,120.08426538957531,-20.91573461042472,-0.1483385433363455
Pedro Chirivella,Nantes,27.0,MF,fr Ligue 1,6.0,8.393394473899994,2.3933944738999937,0.39889907898333227
Paul Nebel,Mainz 05,21.0,MF,de Bundesliga,24.999999999999996,39.42176837442007,14.421768374420072,0.576870734976803
