Player,Squad,Age,Pos_clean,Comp,valor_real,valor_predicho,diferencia,diferencia_pct
Téji Savanier,Montpellier,32.0,MF,fr Ligue 1,10.000000000000002,9.072997,-0.9270029067993182,-0.0927002906799318
Jacob Murphy,Newcastle Utd,29.0,FW,eng Premier League,17.0,20.83179,3.8317909240722656,0.22539946612189798
Lorenz Assignon,Rennes,24.0,DF,fr Ligue 1,10.000000000000002,15.178177,5.178176879882811,0.517817687988281
Maximilian Arnold,Wolfsburg,30.0,MF,de Bundesliga,6.0,6.464007,0.4640069007873535,0.07733448346455891
Lorenzo Lucca,Udinese,23.0,FW,it Serie A,23.0,15.391397,-7.608602523803711,-0.33080880538277
Habib Diarra,Strasbourg,20.0,MF,fr Ligue 1,21.0,21.082258,0.08225822448730469,0.0039170583089192705
Lucas Digne,Aston Villa,31.0,DF,eng Premier League,11.000000000000002,7.916461,-3.08353900909424,-0.2803217280994763
Florian Wirtz,Leverkusen,21.0,MF,de Bundesliga,141.00000000000003,135.91599,-5.084014892578153,-0.036056843209774134
Pedro Chirivella,Nantes,27.0,MF,fr Ligue 1,6.0,7.6333985,1.6333985328674316,0.2722330888112386
Paul Nebel,Mainz 05,21.0,MF,de Bundesliga,24.999999999999996,45.320732,20.320732116699222,0.812829284667969
Elisha Owusu,Auxerre,26.0,MF,fr Ligue 1,4.0,5.0472684,1.0472683906555176,0.2618170976638794
Saša Lukić,Fulham,27.0,MF,eng Premier League,15.0,17.088955,2.0889549255371094,0.13926366170247395
Raúl Moro,Valladolid,21.0,MF,es La Liga,8.5,14.021605,5.521604537963867,0.649600533878102
Guillermo Maripán,Torino,30.0,DF,it Serie A,4.999999999999999,4.71511,-0.28489017486572177,-0.05697803497314436
Justin Kluivert,Bournemouth,25.0,MF,eng Premier League,36.0,47.291176,11.291175842285156,0.3136437733968099
Álex Berenguer,Athletic Club,29.0,FW,es La Liga,10.000000000000002,10.163354,0.16335391998290838,0.016335391998290837
Pierre Kalulu,Juventus,24.0,DF,it Serie A,29.000000000000004,34.102627,5.102626800537106,0.17595264829438292
Liam Henderson,Empoli,28.0,MF,it Serie A,1.1,4.15267,3.052669906616211,2.7751544605601914
Adam Marušić,Lazio,31.0,DF,it Serie A,4.5,4.0435634,-0.4564366340637207,-0.10143036312527126
Felix Passlack,Bochum,26.0,DF,de Bundesliga,3.0000000000000004,4.873348,1.873348236083984,0.6244494120279945
Michael Olise,Bayern Munich,22.0,FW,de Bundesliga,101.00000000000003,94.528564,-6.471435546875028,-0.06407361927599037
Alessandro Bastoni,Inter,25.0,DF,it Serie A,81.00000000000003,49.81164,-31.188358306884794,-0.3850414605788245
Yann Gboho,Toulouse,23.0,MF,fr Ligue 1,9.000000000000002,12.616753,3.616752624511717,0.40186140272352405
Sebastiano Esposito,Empoli,22.0,FW,it Serie A,9.500000000000002,12.029065,2.5290651321411115,0.2662173823306433
Pablo Barrios,Atlético Madrid,21.0,MF,es La Liga,56.00000000000002,24.564592,-31.435407638549826,-0.5613465649741038
Corentin Tolisso,Lyon,29.0,MF,fr Ligue 1,13.0,11.26263,-1.7373695373535156,-0.13364381056565505
